Question,optionA,optionB,optionC,optionD,Answer
Q. What does LAN stand for in networking?,A) Local Area Network,B) Long Area Network,C) Logical Access Network,D) Large Array Network,Answer: A
Q. What is the purpose of the GPU in graphics cards?,A) Store data,B) Execute instructions,C) Manage network connections,D) Render graphics,Answer: D
Q. Which type of display technology uses organic compounds to produce light?,A) LED,B) LCD,C) OLED,D) Plasma,Answer: C
Q. What does IP address stand for in networking?,A) Internet Protocol Address,B) Internal Processing Address,C) Intranet Port Address,D) Integrated Protocol Address,Answer: A
Q. Which component is responsible for managing communication between the CPU and other devices in a computer?,A) RAM,B) Southbridge,C) Northbridge,D) GPU,Answer: B
"Q. In networking, what does WAN stand for?",A) Wireless Area Network,B) Wide Access Network,C) Wide Area Network,D) Wired Area Network,Answer: C
Q. What is the function of an optical drive in a computer?,A) Display graphics,B) Execute instructions,C) Store and read optical discs,D) Manage network connections,Answer: C
Q. Which of the following is an example of an output device?,A) Mouse,B) Printer,C) Keyboard,D) Scanner,Answer: B
Q. What does UPS stand for in computing?,A) Uninterruptible Power Supply,B) Universal Power System,C) Unidirectional Power Source,D) Unified Protection System,Answer: A
Q. Which type of connector is commonly used for connecting audio devices?,A) HDMI,B) USB,C) VGA,D) 3.5mm Jack,Answer: D
Q. What is the purpose of the Firewall in a computer network?,A) Display graphics,B) Execute instructions,C) Protect against unauthorized access,D) Manage network connections,Answer: C
Q. Which port is commonly used for connecting a monitor to a computer?,A) USB,B) HDMI,C) VGA,D) Ethernet,Answer: C
Q. What is the purpose of an antivirus program in a computer?,A) Display graphics,B) Execute instructions,C) Protect against malware,D) Manage network connections,Answer: C
Q. What does NFC stand for in the context of wireless communication?,A) Near Field Communication,B) Network File Control,C) National Frequency Code,D) Next-Generation Firewall,Answer: A
Q. What is the purpose of the CMYK color model in printing?,A) Display graphics,B) Execute instructions,C) Manage network connections,D) Produce color prints,Answer: D
Q. Which type of cable is commonly used for wired computer networks?,A) HDMI,B) USB,C) Ethernet,D) VGA,Answer: C
Q. What is the purpose of a sound card in a computer?,A) Display graphics,B) Execute instructions,C) Manage network connections,D) Process audio signals,Answer: D
Q. Which type of memory is used for long-term storage but is slower than RAM?,A) Cache,B) SSD (Solid State Drive),C) Hard Drive,D) DVD,Answer: C
Q. What does SSD stand for in data storage?,A) Solid State Drive,B) Serial Storage Device,C) Secure System Drive,D) Sequential Storage Disk,Answer: A
Q. What is the function of the Southbridge on a motherboard?,A) Manage communication between CPU and RAM,B) Manage communication between CPU and GPU,C) Manage communication between peripherals,D) Manage network connections,Answer: C
Q. What does WPA stand for in wireless security protocols?,A) Wireless Personal Access,B) Wi-Fi Protected Access,C) Wireless Privacy Algorithm,D) Wireless Public Authentication,Answer: B
Q. Which type of printer uses a powder called toner?,A) Inkjet Printer,B) Laser Printer,C) Dot Matrix Printer,D) Thermal Printer,Answer: B
Q. What is the purpose of a network switch?,A) Manage network connections,B) Execute instructions,C) Display graphics,D) Connect various components,Answer: A
Q. What is the function of a UPS (Uninterruptible Power Supply) in computing?,A) Display graphics,B) Execute instructions,C) Provide backup power during outages,D) Manage network connections,Answer: C
